"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box","add_ind"
"C02","933000120138339","M","M165",65.25,18.6666666666667,5,7,0,4,86,66,71,93,100,105,"K3-5","K3-5","K3-5","K3-5","K3-5","MED1110-10",-0.742150280683956
"C02","933000120138340","F","F83",56.25,15,5,17,16,13,88,68,73,95,102,107,"MED1110-4","MED1110-4","MED1110-4","MED1110-4","MED1110-4","MED1110-4",NA
"C02","933000120138341","F","F86",119.5,4.66666666666667,1,14,16,12,89,69,74,96,103,108,"MED1110-7","MED1110-7","MED1110-7","MED1110-7","MED1110-7","MED1110-7",NA
"C02","933000120138342","M","M163",-25.75,8.66666666666667,2,0,10,2,88,68,73,95,102,107,"K3-3","K3-3","K3-3","K3-3","K3-3","MED1110-16",-0.485754796046229
"C02","933000120138343","F","F88",11.5,44.3333333333333,12,10,10,23,86,66,71,93,100,105,"MED1110-9","MED1110-9","MED1110-9","MED1110-9","MED1110-9","MED1110-1",NA
"C02","933000120138344","M","M160",11.75,50.6666666666667,10,16,18,11,88,68,73,95,102,107,"K2-6","K2-6","K2-6","K2-6","K2-6","MED1110-13",1.19230944267655
"C02","933000120138346","M","M164",129,0,0,13,12,12,86,66,71,93,100,105,"K3-4","K3-4","K3-4","K3-4","K3-4","MED1110-9",0.00529185980761286
"C02","933000120138347","M","M154",117.25,1.33333333333333,1,11,11,16,93,73,78,100,107,112,"K2-3","K2-3","K2-3","K2-3","K2-3","MED1110-10",0.385159061164928
"C02","933000120138348","M","M166",60.5,1,0,12,0,11,86,66,71,93,100,105,"K3-6","K3-6","K3-6","K3-6","K3-6","MED1110-11",-0.337838206982593
"C02","933000120138349","M","M153",118.25,1.66666666666667,1,11,8,6,93,73,78,100,107,112,"K2-2","K2-2","K2-2","K2-2","K2-2","MED1110-9",-0.48152504521719
"C02","933000120138351","F","F90",23.5,51.6666666666667,14,16,19,21,86,66,71,93,100,105,"MED1110-11","MED1110-11","MED1110-11","MED1110-11","MED1110-11","MED1110-3",NA
"C02","933000120138353","F","F82",NA,6,4,NA,NA,NA,NA,68,73,NA,NA,NA,NA,"MED1110-3",NA,NA,"MED1110-3",NA,NA
"C02","933000120138354","F","F89",41.25,44,12,15,15,27,86,66,71,93,100,105,"MED1110-10","MED1110-10","MED1110-10","MED1110-10","MED1110-10","MED1110-2",NA
"C03","933000120138384","M","M366",95.5,2,0,13,13,22,103,82,88,110,115,118,NA,NA,NA,NA,NA,"MED1110-16",0.836729145157676
"C03","933000120138385","M","M368",-2.75,2.33333333333333,2,2,5,2,100,79,85,107,112,115,"Q3-1","Q3-1","Q3-1","Q3-1","Q3-1","MED1110-10",-1.2283344159914
"C03","933000120138386","F","F305",95.25,7.66666666666667,6,11,9,21,100,79,85,107,112,115,"MED1110-5","MED1110-5","MED1110-5","MED1110-5","MED1110-5","MED1110-5",0.236674251510616
"C03","933000120138388","F","F323",-16.75,5.33333333333333,3,7,9,9,100,79,85,107,112,115,"K2-1","K2-1","K2-1","K2-1","K2-1","MED1110-7",-0.930698632459952
"C03","933000120138389","M","M360",26.5,4.66666666666667,5,NA,NA,NA,102,81,87,NA,NA,NA,"K3-5","K3-5",NA,NA,"K3-5",NA,NA
"C03","933000120138394","M","M359",105.25,1.33333333333333,2,0,13,13,100,79,85,107,112,115,"K3-4","K3-4","K3-4","K3-4","K3-4","MED1110-9",0.273241663394933
"C03","933000120138395","M","M371",0.25,0,0,0,6,4,100,79,85,107,112,115,"Q3-4","Q3-4","Q3-4","Q3-4","Q3-4","MED1110-13",-1.10170622154412
"C03","933000120138397","M","M367",29,6.33333333333333,5,14,12,22,100,79,85,107,112,115,NA,NA,NA,NA,NA,"MED1110-9",1.51441661869057
"C03","933000120138398","F","F306",40.5,2.33333333333333,6,17,18,11,100,79,85,107,112,115,"MED1110-6","MED1110-6","MED1110-6","MED1110-6","MED1110-6","MED1110-6",1.13471552660236
"C03","933000120138400","F","F303",28,6.66666666666667,0,10,12,0,100,79,85,107,112,115,"MED1110-3","MED1110-3","MED1110-3","MED1110-3","MED1110-3","MED1110-3",-0.270942987817452
"C03","933000120138401","M","M372",24.75,8,5,16,14,1,100,79,85,107,112,115,"Q3-5","Q3-5","Q3-5","Q3-5","Q3-5","MED1110-14",0.475726558385036
"C03","933000120138403","F","F304",45.75,27,9,12,10,20,102,81,87,109,114,117,"MED1110-4","MED1110-4","MED1110-4","MED1110-4","MED1110-4","MED1110-4",0.409792906944741
"C03","933000120138556","F","F312",130,0.333333333333333,2,10,11,4,104,83,89,111,116,119,"MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-4",-0.0556427540316157
"C03","933000120138557","M","M361",34.25,7.66666666666667,4,9,14,16,104,83,89,111,116,119,"K3-6","K3-6","K3-6","K3-6","K3-6","MED1110-11",0.866590461842537
"C03","933000120138558","M","M354",48.25,8.33333333333333,4,0,11,0,104,83,89,111,116,119,"K2-5","K2-5","K2-5","K2-5","K2-5","MED1110-12",-0.420026682936539
"C03","933000120138559","F","F311",73.75,3.33333333333333,1,13,13,16,104,83,89,111,116,119,"MED1110-11","MED1110-11","MED1110-11","MED1110-11","MED1110-11","MED1110-3",0.413618481887229
"C03","933000120138561","F","F308",39,10.3333333333333,7,5,10,17,110,89,95,117,122,125,"MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8","MED1110-8",-0.635548182715345
"C03","933000120138564","M","M373",67.5,3.33333333333333,3,9,9,21,103,82,88,110,115,118,"Q3-6","Q3-6","Q3-6","Q3-6","Q3-6","MED1110-15",0.316310560861869
"C03","933000120138568","F","F302",29.75,16.3333333333333,7,11,10,6,104,83,89,111,116,119,"MED1110-2","MED1110-2","MED1110-2","MED1110-2","MED1110-2","MED1110-2",-0.501326550930983
"C03","933000120138569","M","M364",-8.75,32,10,8,5,4,104,83,89,111,116,119,NA,NA,NA,NA,NA,"MED1110-14",-0.103678631712778
"C03","933000120138573","M","M362",43,1.66666666666667,1,3,4,2,104,83,89,111,116,119,"Q3-1","Q3-1","Q3-1","Q3-1","Q3-1","MED1110-12",-0.789032745595113
"C03","933000120138575","M","M353",61.75,14,6,13,15,5,104,83,89,111,116,119,"K2-4","K2-4","K2-4","K2-4","K2-4","MED1110-11",0.955411636340961
"C03","933000120138577","M","M363",8.75,26,9,15,12,4,104,83,89,111,116,119,NA,NA,NA,NA,NA,"MED1110-13",0.830282133545227
"C03","933000120138578","F","F301",24.75,15.6666666666667,5,15,11,14,104,83,89,111,116,119,"MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1",0.030117966777328
"C03","933000120138579","F","F307",17.75,14.3333333333333,15,16,13,8,110,89,95,117,122,125,"MED1110-7","MED1110-7","MED1110-7","MED1110-7","MED1110-7","MED1110-7",-0.43978982817653
"C03","933000120138631","F","F320",-4,42.3333333333333,9,12,11,22,110,89,95,117,122,125,"K1-4","K1-4","K1-4","K1-4","K1-4","MED1110-4",0.513568544556655
"C03","933000120138632","F","F322",150.75,0.666666666666667,0,14,12,27,110,89,95,117,122,125,"K1-6","K1-6","K1-6","K1-6","K1-6","MED1110-6",0.73627769313052
"C03","933000120138633","F","F316",120.5,0.333333333333333,0,8,10,9,110,89,95,117,122,125,"MED1110-16","MED1110-16","MED1110-16","MED1110-16","MED1110-16","MED1110-8",-0.55968757797788
"C03","933000120138634","F","F315",5,37,7,10,8,11,110,89,95,117,122,125,"MED1110-15","MED1110-15","MED1110-15","MED1110-15","MED1110-15","MED1110-7",-0.231720259573617
"C03","933000120138636","M","M358",60.75,2,1,0,12,0,110,89,95,117,122,125,"K3-3","K3-3","K3-3","K3-3","K3-3","MED1110-16",-0.780971948338616
"C03","933000120138637","F","F317",54.5,0.333333333333333,2,1,11,7,110,89,95,117,122,125,"K1-1","K1-1","K1-1","K1-1","K1-1","MED1110-1",-1.33197985102419
"C03","933000120138638","M","M356",17,2.66666666666667,2,1,6,1,115,94,100,122,127,130,"K3-1","K3-1","K3-1","K3-1","K3-1","MED1110-14",-0.668887072666994
"C03","933000120138639","M","M365",100,0.333333333333333,1,10,11,15,110,89,95,117,122,125,NA,NA,NA,NA,NA,"MED1110-15",0.261760269951177
"C03","933000120138640","M","M370",0.25,0,0,0,0,1,110,89,95,117,122,125,"Q3-3","Q3-3","Q3-3","Q3-3","Q3-3","MED1110-12",-1.45326362281756
"C03","933000120138642","F","F310",13.25,23.3333333333333,11,13,14,14,110,89,95,117,122,125,"MED1110-10","MED1110-10","MED1110-10","MED1110-10","MED1110-10","MED1110-2",0.171060907467939
"C03","933000120138643","M","M369",4.25,2,1,1,5,5,110,89,95,117,122,125,"Q3-2","Q3-2","Q3-2","Q3-2","Q3-2","MED1110-11",-1.06644218964207
"C03","933000120138644","F","F319",-13.75,41.6666666666667,8,4,14,17,110,89,95,117,122,125,"K1-3","K1-3","K1-3","K1-3","K1-3","MED1110-3",0.925800007043713
"C03","933000120138645","M","M355",89.75,0.666666666666667,0,9,8,1,115,94,100,122,127,130,"K2-6","K2-6","K2-6","K2-6","K2-6","MED1110-13",-0.780345837506097
"C03","933000120138646","M","M352",34.75,10.6666666666667,6,11,10,2,110,89,95,117,122,125,"K2-3","K2-3","K2-3","K2-3","K2-3","MED1110-10",0.125437436097706
"C03","933000120138647","F","F313",39.75,29,10,12,13,19,115,94,100,122,127,130,"MED1110-13","MED1110-13","MED1110-13","MED1110-13","MED1110-13","MED1110-5",0.285222421218821
"C03","933000120138648","F","F309",39.75,23.3333333333333,10,12,13,23,110,89,95,117,122,125,"MED1110-9","MED1110-9","MED1110-9","MED1110-9","MED1110-9","MED1110-1",0.594198821506619
"C03","933000120138649","M","M351",94.25,1.66666666666667,0,10,14,2,110,89,95,117,122,125,"K2-2","K2-2","K2-2","K2-2","K2-2","MED1110-9",0.649348691565576
"C03","933000120138650","F","F318",-1.25,25.3333333333333,10,13,11,20,110,89,95,117,122,125,"K1-2","K1-2","K1-2","K1-2","K1-2","MED1110-2",0.955805992585202
